위치 보고서
전체
위치,캠페인,클릭수,노출수,클릭률(CTR),통화 코드,평균 CPC,비용,전환율,전환수,전환당비용
브라질,pi moderator,0,4,0.00%,KRW,0,0,0.00%,0.00,0
리비아,pi moderator,5,58,8.62%,KRW,5,27,0.00%,0.00,0
이라크,pi moderator,53,461,11.50%,KRW,6,333,0.00%,0.00,0
튀니지,pi moderator,194,"1,664",11.66%,KRW,7,1401,0.00%,0.00,0
말레이시아,pi moderator,1,36,2.78%,KRW,841,841,0.00%,0.00,0
칠레,pi moderator,0,0, --,KRW,0,0,0.00%,0.00,0
미얀마(버마),pi moderator,51,357,14.29%,KRW,8,422,0.00%,0.00,0
태국,pi moderator,25,337,7.42%,KRW,25,622,0.00%,0.00,0
방글라데시,pi moderator,"6,588","75,086",8.77%,KRW,5,35884,0.00%,0.00,0
필리핀,pi moderator,140,"1,136",12.32%,KRW,25,3511,0.00%,0.00,0
이집트,pi moderator,341,"2,779",12.27%,KRW,12,4053,0.00%,0.00,0
소말리아,pi moderator,0,5,0.00%,KRW,0,0,0.00%,0.00,0
베네수엘라,pi moderator,520,"2,949",17.63%,KRW,2,1196,0.00%,0.00,0
레바논,pi moderator,7,57,12.28%,KRW,15,104,0.00%,0.00,0
사우디아라비아,pi moderator,1,14,7.14%,KRW,249,249,0.00%,0.00,0
인도네시아,pi moderator,93,557,16.70%,KRW,21,1911,0.00%,0.00,0
요르단,pi moderator,2,28,7.14%,KRW,2,3,0.00%,0.00,0
쿠웨이트,pi moderator,0,0, --,KRW,0,0,0.00%,0.00,0
인도,pi moderator,"1,039","9,628",10.79%,KRW,24,25090,0.00%,0.00,0
아르헨티나,pi moderator,0,12,0.00%,KRW,0,0,0.00%,0.00,0
파키스탄,pi moderator,"2,553","22,132",11.54%,KRW,9,22095,0.00%,0.00,0
베트남,pi moderator,5,158,3.16%,KRW,15,77,0.00%,0.00,0
아랍에미리트,pi moderator,0,6,0.00%,KRW,0,0,0.00%,0.00,0
팔레스타인,pi moderator,1,5,20.00%,KRW,7,7,0.00%,0.00,0
알제리,pi moderator,485,"4,429",10.95%,KRW,6,2766,0.00%,0.00,0
전체: 위치,,"12,104","121,898",9.93%,KRW,8,100592,0.00%,0.00,0
전체: 계정,,"12,131","122,188",9.93%,KRW,8,101106,0.00%,0.00,0
전체: 실적 최대화,,"12,131","122,188",9.93%,KRW,8,101106,0.00%,0.00,0
